business_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
FYWN1wneV18bWNgQjJ2GNg,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,None,None
He-G7vWjzVUysIKrfNbPUQ,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-16:0,8:0-16:0,None
KQPW8lFf1y5BT2MxiSZ3QA,None,None,None,None,None,None,None
8DShNS-LuFqpEWIp0HxijA,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-19:0
PfOCPjBrlQAnz__NXj9h_w,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-0:0
o9eMRCWt5PkpLDE0gOPtcQ,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,None
kCoE3jvEtg6UVz5SOD3GVw,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
OD2hnuuTJI9uotcKycxg1A,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,10:0-18:0,11:0-16:0
EsMcGiZaQuG1OOvL9iUFug,None,None,None,None,None,None,None
TGWhGNusxyMaA4kQVBNeew,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0
XOSRcvtaKc_Q5H1SAzN20A,None,None,None,None,None,None,None
Y0eMNa5C-YU1RQOZf9XvVA,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,8:30-17:30,11:0-15:0
xcgFnd-MwkZeO5G2HQ0gAQ,None,None,None,None,None,None,None
NmZtoE3v8RdSJEczYbMT9g,8:0-17:0,8:0-17:0,8:0-14:0,8:0-17:0,8:0-17:0,None,None
fNMVV_ZX7CJSDWQGdOM8Nw,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,None,None
l09JfMeQ6ynYs5MCJtrcmQ,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
IQSlT5jGE6CCDhSG0zG3xg,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-18:0,10:0-17:0
b2I2DXtZVnpUMCXp1JON7A,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-16:0,None
0FMKDOU8TJT1x87OKYGDTg,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-19:0,9:0-18:0,None
Gu-xs3NIQTj3Mj2xYoN2aw,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:0-23:0,11:0-22:0
lHYiCS-y8AFjUitv6MGpxg,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-23:0,6:0-23:0,7:0-22:0
94KziT6DQ9XlBET3WzIv_w,None,None,None,None,None,None,None
7YIy1tXOor9VCwvaSjuBHg,None,None,None,None,None,None,None
PMH4oUa-bWELKogdtkWewg,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59
VSGcuYDV3q-AAZ9ZPq4fBQ,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0
1K4qrnfyzKzGgJPBEcJaNQ,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,10:30-2:0,10:30-2:0
VBHEsoXQb2AQ76J9l8h1uQ,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-14:0,None
AtdXq_gu9NTE5rx4ct_dGg,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,9:30-18:0,11:0-18:0
Dj0S-Oe4ytRJzMGUPgYUkw,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,6:30-22:0,7:0-22:0,7:0-20:0
gAy4LYpsScrj8POnCW6btQ,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
nbhBRhZtdaZmMMeb2i02pg,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
zzMu-6SmqhpvHxVRM6tx9g,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,None,None
1_3nOM7s9WqnJWTNu2-i8Q,11:30-14:0,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,16:30-21:30,None
FXHfcFVEfI1vVngW2gVOpw,17:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,12:0-1:30,12:0-1:30,12:0-23:0
7gquCdaFoHZCcLYDttpHtw,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,None
8y56fOiKhtCnqaiYB2S2Qg,None,None,None,None,None,None,None
ok38fApaT1TBEU-IH85BvA,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-12:0,None
lj0MiK5_fyv9df2twnsI7g,None,9:0-15:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None
S4a42azhoOmr0fpeNkggHg,None,None,None,None,None,None,None
A_Ij4SwFmlRbVtRnsdSzWA,None,None,None,None,None,None,None
tRVx2c89coruPRwYhGTcTw,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,11:0-2:0,None
1Jp_hmPNUZArNqzpbm7B0g,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,9:0-14:30,None
zjySmTfL9WiMDVgp8-Jp3w,None,None,None,None,None,None,None
5qpi5VQ_S2Itm8xvRm1k8Q,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-15:0,None
BnuzcebyB1AfxH0kjNWqSg,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
rDMptJYWtnMhpQu_rRXHng,None,None,None,None,None,None,None
1WBkAuQg81kokZIPMpn9Zg,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
Z-4KHBDbdwyC7PwA_JE5Xw,8:0-17:0,8:0-21:0,7:0-21:0,7:0-21:0,7:0-19:0,8:0-16:0,None
DPQnTnNw2PJj7DdENM98Cw,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,8:0-17:0
_F3AMoo_zdl-he384ISQbw,None,None,None,None,None,None,None
-ooEO2YqDQVYNHnSF2BPfw,None,None,None,None,None,None,None
FmGZh8ZwEnSO860_2eiYHw,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,9:0-12:0,8:0-18:0
Pd52CjgyEU3Rb8co6QfTPw,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30
4srfPk1s8nlm1YusyDUbjg,None,None,None,None,None,None,None
n7V4cD-KqqE3OXk0irJTyA,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
c_XbaJqhm-5ycSBOkVUBmg,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:0
ykJM7EuGziATZ5u2qIT08g,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0
spDZkD6cp0JUUm6ghIWHzA,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
PEKloTo1IkW_gyxp15e8Dg,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-10:15,None
Sx0C2RsDgrG3RxBBUoBqTw,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
v2GJWvZqEAjUc22hZUYzYw,18:0-20:30,None,None,None,None,None,None
MmR06_kNAbmOPK-0pKvGtA,None,None,None,None,None,None,None
ORUUPE_Ahrcop9K7h6rvVQ,None,None,None,None,None,None,None
r6Jw8oRCeumxu7Y1WRxT7A,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-18:0,None
EJFdWX908N8Yc2XG0Lky8A,None,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,None
LL01hTt_eVdp-ws4zMDsrw,7:45-18:0,7:45-15:0,8:30-18:0,8:30-17:0,None,None,None
d6ngz4WmMaQL8Xdfur7bwQ,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
6aFAEeJ3nS-iWGt7Tn7S0Q,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None,None
F31RycVVooeIOp9jsXmg6g,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,8:0-17:0,8:0-17:0
0lCpaZpmjCFEmtti9O9ZdQ,None,None,None,None,None,None,None
2pD9wZWXDNsZf_MXd8rQtg,None,None,None,None,None,None,None
c6Shr51XcbvAeXp6hb_Exg,None,None,None,None,None,None,None
iPa__LOhse-hobC2Xmp-Kw,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0
XPZT3zLrkLkFSkBVxSsM3w,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,10:0-20:0
zWb-kwaANIPMS_AFBbVOew,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0
o1fTwfqN0sDFNpV1CkOPPg,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,8:0-21:0,9:0-21:0
-nHkhiuerqmfBG3v2v9O-g,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,6:0-16:0,6:0-16:0
NFTh6mj3X2AnHJCKIFUk5Q,None,None,None,None,None,None,None
EfYExaDrwhj0k611u5lYMg,None,None,None,None,None,None,None
